Ticker,Setor,SubSetor
BCRI11,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
BEEF3,Alimentos Processados,Carnes e Derivados
BEGU39,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
BERK34,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
BIDI11,Intermediários Financeiros,Bancos
BIDI3,Intermediários Financeiros,Bancos
BIDI4,Intermediários Financeiros,Bancos
BIEU39,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
BITH11,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
BKBR3,Hoteis e Restaurantes,Restaurante e Similares
BKNG34,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
BLAU3,Comércio e Distribuição,Medicamentos e Outros Produtos
BMGB4,Intermediários Financeiros,Bancos
BMOB3,Programas e Serviços,Programas e Serviços
BOAC34,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
BOAS3,Serviços Financeiros Diversos,Serviços Financeiros Diversos
BOVA11,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
BOVB11,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
BOVV11,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
BOVX11,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
BPAC11,Intermediários Financeiros,Bancos
BPAN4,Intermediários Financeiros,Bancos
BRAP3,Mineração,Minerais Metálicos
BRAP4,Mineração,Minerais Metálicos
BRBI11,Intermediários Financeiros,Bancos
BRCO11,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
BRCR11,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
BRFS3,Alimentos Processados,Carnes e Derivados
BRIT3,Telecomunicações,Telecomunicações
BRKM5,Químicos,Petroquímicos
BRML3,Exploração de Imóveis,Exploração de Imóveis
BRPR3,Exploração de Imóveis,Exploração de Imóveis
BRSR6,Intermediários Financeiros,Bancos
BTLG11,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
CAML3,Alimentos Processados,Alimentos Diversos
CARD3,Serviços Diversos,Serviços Diversos
CASH3,Programas e Serviços,Programas e Serviços
CBAV3,Mineração,Minerais Metálicos
CCRO3,Transporte,Exploração de Rodovias
CEAB3,Comércio,"Tecidos, Vestuário e Calçados"
CESP6,Energia Elétrica,Energia Elétrica
CHVX34,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
CIEL3,Serviços Financeiros Diversos,Serviços Financeiros Diversos
CLSA3,Serviços Financeiros Diversos,Serviços Financeiros Diversos
CMCS34,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
CMIG3,Energia Elétrica,Energia Elétrica
CMIG4,Energia Elétrica,Energia Elétrica
CMIN3,Mineração,Minerais Metálicos
COCA34,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
COGN3,Diversos,Serviços Educacionais
CPFE3,Energia Elétrica,Energia Elétrica
CPLE11,Energia Elétrica,Energia Elétrica
CPLE3,Energia Elétrica,Energia Elétrica
CPLE6,Energia Elétrica,Energia Elétrica
CPTS11,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
CRFB3,Comércio e Distribuição,Alimentos
CRPG5,Químicos,Químicos Diversos
CSAN3,"Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição"
CSED3,Diversos,Serviços Educacionais
CSMG3,Água e Saneamento,Água e Saneamento
CSNA3,Siderurgia e Metalurgia,Siderurgia
CURY3,Construção Civil,Incorporações
CVBI11,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
CVCB3,Viagens e Lazer,Viagens e Turismo
CXSE3,Previdência e Seguros,Seguradoras
CYRE3,Construção Civil,Incorporações
DASA3,Serv.Méd.Hospit. Análises e Diagnósticos,Serv.Méd.Hospit. Análises e Diagnósticos
DESK3,Telecomunicações,Telecomunicações
DEVA11,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
DEXP3,Químicos,Petroquímicos
DIRR3,Construção Civil,Incorporações
DISB34,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
DMMO3,"Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição"
DXCO3,Madeira e Papel,Madeira
ECOR3,Transporte,Exploração de Rodovias
EGIE3,Energia Elétrica,Energia Elétrica
ELET3,Energia Elétrica,Energia Elétrica
ELET6,Energia Elétrica,Energia Elétrica
ELMD3,Mídia,Publicidade e Propaganda
EMBR3,Material de Transporte,Material Aeronáutico e de Defesa
ENAT3,"Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição"
ENBR3,Energia Elétrica,Energia Elétrica
ENEV3,Energia Elétrica,Energia Elétrica
ENGI11,Energia Elétrica,Energia Elétrica
ENJU3,Programas e Serviços,Programas e Serviços
EQTL3,Energia Elétrica,Energia Elétrica
ESPA3,Comércio,Produtos Diversos
ETER3,Construção e Engenharia,Produtos para Construção
ETHE11,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
EURP11,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
EVEN3,Construção Civil,Incorporações
EXXO34,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
EZTC3,Construção Civil,Incorporações
FBOK34,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
FESA4,Siderurgia e Metalurgia,Siderurgia
FHER3,Químicos,Fertilizantes e Defensivos
FIND11,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
FIQE3,Telecomunicações,Telecomunicações
FLRY3,Serv.Méd.Hospit. Análises e Diagnósticos,Serv.Méd.Hospit. Análises e Diagnósticos
FNAM11,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
FNOR11,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
FRAS3,Material de Transporte,Material Rodoviário
GALG11,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
GFSA3,Construção Civil,Incorporações
GGBR3,Siderurgia e Metalurgia,Siderurgia
GGBR4,Siderurgia e Metalurgia,Siderurgia
GGPS3,Serviços Diversos,Serviços Diversos
GGRC11,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
GMAT3,Comércio e Distribuição,Alimentos
GMCO34,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
GNDI3,Serv.Méd.Hospit. Análises e Diagnósticos,Serv.Méd.Hospit. Análises e Diagnósticos
GOAU4,Siderurgia e Metalurgia,Siderurgia
GOGL34,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
GOLD11,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
GOLL4,Transporte,Transporte Aéreo
GRND3,"Tecidos, Vestuário e Calçados",Calçados
GUAR3,Comércio,"Tecidos, Vestuário e Calçados"
HABT11,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
HAPV3,Serv.Méd.Hospit. Análises e Diagnósticos,Serv.Méd.Hospit. Análises e Diagnósticos
HASH11,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
HBOR3,Construção Civil,Incorporações
HBSA3,Transporte,Transporte Hidroviário
HCTR11,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
HFOF11,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
HGBS11,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
HGCR11,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
HGLG11,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
HGRE11,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
HGRU11,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
HOME34,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
HSML11,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
HYPE3,Comércio e Distribuição,Medicamentos e Outros Produtos
IFCM3,Programas e Serviços,Programas e Serviços
IGTA3,Exploração de Imóveis,Exploração de Imóveis
IMAB11,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
IMBB11,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
INEP3,Máquinas e Equipamentos,Máq. e Equip. Industriais
INEP4,Máquinas e Equipamentos,Máq. e Equip. Industriais
INTB3,Computadores e Equipamentos,Computadores e Equipamentos
IRBR3,Previdência e Seguros,Seguradoras
IRDM11,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
ITSA3,Intermediários Financeiros,Bancos
ITSA4,Intermediários Financeiros,Bancos
ITUB3,Intermediários Financeiros,Bancos
ITUB4,Intermediários Financeiros,Bancos
IVVB11,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
JALL3,Alimentos Processados,Açucar e Alcool
JBSS3,Alimentos Processados,Carnes e Derivados
JHSF3,Construção Civil,Incorporações
JNJB34,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
JPMC34,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
JPSA3,Exploração de Imóveis,Exploração de Imóveis
JSLG3,Transporte,Transporte Rodoviário
JSRE11,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
KDIF11,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
KEPL3,Máquinas e Equipamentos,Máq. e Equip. Industriais
KISU11,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
KLBN11,Madeira e Papel,Papel e Celulose
KLBN4,Madeira e Papel,Papel e Celulose
KNCR11,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
KNHY11,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
KNIP11,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
KNRI11,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
KNSC11,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
KRSA3,Serv.Méd.Hospit. Análises e Diagnósticos,Serv.Méd.Hospit. Análises e Diagnósticos
LAME3,Comércio,Produtos Diversos
LAME4,Comércio,Produtos Diversos
LAND3,Agropecuária,Agricultura
LAVV3,Construção Civil,Incorporações
LCAM3,Diversos,Aluguel de carros
LEVE3,Automóveis e Motocicletas,Automóveis e Motocicletas
LIGT3,Energia Elétrica,Energia Elétrica
LJQQ3,Comércio,Produtos Diversos
LLIS3,Comércio,"Tecidos, Vestuário e Calçados"
LOGG3,Exploração de Imóveis,Exploração de Imóveis
LOGN3,Transporte,Transporte Hidroviário
LPSB3,Exploração de Imóveis,Intermediação Imobiliária
LREN3,Comércio,"Tecidos, Vestuário e Calçados"
LUPA3,"Petróleo, Gás e Biocombustíveis",Equipamentos e Serviços
LVBI11,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
LVTC3,Programas e Serviços,Programas e Serviços
LWSA3,Programas e Serviços,Programas e Serviços
M1RN34,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
MALL11,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
MATD3,Serv.Méd.Hospit. Análises e Diagnósticos,Serv.Méd.Hospit. Análises e Diagnósticos
MBLY3,Programas e Serviços,Programas e Serviços
MCCI11,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
MDIA3,Alimentos Processados,Alimentos Diversos
MDNE3,Construção Civil,Incorporações
MEAL3,Hoteis e Restaurantes,Restaurante e Similares
MELI34,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
MELK3,Construção Civil,Incorporações
MGFF11,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
MGLU3,Comércio,Eletrodomésticos
MILS3,Construção e Engenharia,Serviços Diversos
MLAS3,Computadores e Equipamentos,Computadores e Equipamentos
MODL11,Intermediários Financeiros,Bancos
MOSI3,Programas e Serviços,Programas e Serviços
MOVI3,Diversos,Aluguel de carros
MRFG3,Alimentos Processados,Carnes e Derivados
MRVE3,Construção Civil,Incorporações
MSCD34,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
MSFT34,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
MTRE3,Construção Civil,Incorporações
MULT3,Exploração de Imóveis,Exploração de Imóveis
MXRF11,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
MYPK3,Automóveis e Motocicletas,Automóveis e Motocicletas
NASD11,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
NEOE3,Energia Elétrica,Energia Elétrica
NFLX34,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
NGRD3,Programas e Serviços,Programas e Serviços
NIKE34,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
NTCO3,Produtos de Uso Pessoal e de Limpeza,Produtos de Uso Pessoal
NVDC34,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
ODPV3,Serv.Méd.Hospit. Análises e Diagnósticos,Serv.Méd.Hospit. Análises e Diagnósticos
OIBR3,Telecomunicações,Telecomunicações
OIBR4,Telecomunicações,Telecomunicações
OMGE3,Energia Elétrica,Energia Elétrica
ONCO3,Serv.Méd.Hospit. Análises e Diagnósticos,Serv.Méd.Hospit. Análises e Diagnósticos
OPCT3,"Petróleo, Gás e Biocombustíveis",Equipamentos e Serviços
ORVR3,Água e Saneamento,Água e Saneamento
PARD3,Serv.Méd.Hospit. Análises e Diagnósticos,Serv.Méd.Hospit. Análises e Diagnósticos
PCAR3,Comércio e Distribuição,Alimentos
PDGR3,Construção Civil,Incorporações
PDTC3,Serviços Financeiros Diversos,Gestão de Recursos e Investimentos
PETR3,"Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição"
PETR4,"Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição"
PETZ3,Comércio,Produtos Diversos
PFIZ34,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
PFRM3,Comércio e Distribuição,Medicamentos e Outros Produtos
PGMN3,Comércio e Distribuição,Medicamentos e Outros Produtos
PIBB11,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
PLPL3,Construção Civil,Incorporações
PMAM3,Siderurgia e Metalurgia,Artefatos de Cobre
PNVL3,Comércio e Distribuição,Medicamentos e Outros Produtos
POMO4,Material de Transporte,Material Rodoviário
PORT3,Transporte,Serviços de Apoio e Armazenagem
POSI3,Computadores e Equipamentos,Computadores e Equipamentos
POWE3,Energia Elétrica,Energia Elétrica
PPEI11,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
PRIO3,"Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição"
PSSA3,Previdência e Seguros,Seguradoras
PTBL3,Construção e Engenharia,Produtos para Construção
PVBI11,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
PYPL34,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
QBTC11,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
QETH11,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
QUAL3,Serv.Méd.Hospit. Análises e Diagnósticos,Serv.Méd.Hospit. Análises e Diagnósticos
RADL3,Comércio e Distribuição,Medicamentos e Outros Produtos
RAIL3,Transporte,Transporte Ferroviário
RAIZ4,"Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição"
RANI3,Madeira e Papel,Papel e Celulose
RAPT4,Material de Transporte,Material Rodoviário
RBRF11,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
RBRP11,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
RBRR11,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
RCSL3,Material de Transporte,Material Rodoviário
RCSL4,Material de Transporte,Material Rodoviário
RDOR3,Serv.Méd.Hospit. Análises e Diagnósticos,Serv.Méd.Hospit. Análises e Diagnósticos
RECR11,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
RECV3,"Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição"
RENT3,Diversos,Aluguel de carros
ROMI3,Máquinas e Equipamentos,Máq. e Equip. Industriais
RRRP3,"Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição"
RZTR11,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
SANB11,Intermediários Financeiros,Bancos
SANB3,Intermediários Financeiros,Bancos
SANB4,Intermediários Financeiros,Bancos
SAPR11,Água e Saneamento,Água e Saneamento
SAPR3,Água e Saneamento,Água e Saneamento
SAPR4,Água e Saneamento,Água e Saneamento
SBFG3,Comércio,Produtos Diversos
SBSP3,Água e Saneamento,Água e Saneamento
SDIL11,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
SEER3,Diversos,Serviços Educacionais
SEQL3,Serviços Diversos,Serviços Diversos
SHOW3,Viagens e Lazer,Produção de Eventos e Shows
SHUL4,Máquinas e Equipamentos,"Motores, Compressores e Outros"
SIMH3,Holdings Diversificadas,Holdings Diversificadas
SLCE3,Agropecuária,Agricultura
SMAC11,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
SMAL11,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
SMFT3,Viagens e Lazer,Atividades Esportivas
SMTO3,Alimentos Processados,Açucar e Alcool
SOJA3,Agropecuária,Agricultura
SOMA3,Comércio,"Tecidos, Vestuário e Calçados"
SPXI11,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
SQIA3,Programas e Serviços,Programas e Serviços
SSFO34,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
STBP3,Transporte,Serviços de Apoio e Armazenagem
SULA11,Previdência e Seguros,Seguradoras
SUZB3,Madeira e Papel,Papel e Celulose
SYNE3,Exploração de Imóveis,Exploração de Imóveis
TAEE11,Energia Elétrica,Energia Elétrica
TAEE4,Energia Elétrica,Energia Elétrica
TASA4,Máquinas e Equipamentos,Armas e Munições
TCSA3,Construção Civil,Incorporações
TECN3,"Tecidos, Vestuário e Calçados",Acessórios
TEND3,Construção Civil,Incorporações
TFCO4,"Tecidos, Vestuário e Calçados",Vestuário
TGAR11,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
TGMA3,Transporte,Transporte Rodoviário
TIMS3,Telecomunicações,Telecomunicações
TORD11,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
TOTS3,Programas e Serviços,Programas e Serviços
TPIS3,Transporte,Exploração de Rodovias
TRAD3,Programas e Serviços,Programas e Serviços
TRIS3,Construção Civil,Incorporações
TRPL4,Energia Elétrica,Energia Elétrica
TRXF11,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
TSLA34,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
TSMC34,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
TTEN3,Agropecuária,Agricultura
TUPY3,Material de Transporte,Material Rodoviário
UGPA3,"Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição"
UNIP3,Químicos,Químicos Diversos
UNIP6,Químicos,Químicos Diversos
URPR11,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
USIM3,Siderurgia e Metalurgia,Siderurgia
USIM5,Siderurgia e Metalurgia,Siderurgia
VALE3,Mineração,Minerais Metálicos
VAMO3,Diversos,Aluguel de carros
VBBR3,"Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição"
VGIP11,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
VIGT11,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
VIIA3,Comércio,Eletrodomésticos
VILG11,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
VINO11,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
VISA34,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
VISC11,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
VIVA3,"Tecidos, Vestuário e Calçados",Acessórios
VIVR3,Construção Civil,Incorporações
VIVT3,Telecomunicações,Telecomunicações
VLID3,Serviços Diversos,Serviços Diversos
VRTA11,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
VSLH11,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
VULC3,"Tecidos, Vestuário e Calçados",Calçados
VVEO3,Comércio e Distribuição,Medicamentos e Outros Produtos
WEGE3,Máquinas e Equipamentos,"Motores, Compressores e Outros"
WEST3,Programas e Serviços,Programas e Serviços
WIZS3,Previdência e Seguros,Corretoras de Seguros
XINA11,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
XPBR31,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
XPCI11,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
XPLG11,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
XPML11,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
XPPR11,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
YDUQ3,Diversos,Serviços Educacionais
